Description:
	Relative Spectral Power Distribution (SPD) functions
	S0(λ) (blue), S1(λ) (green) and S2(λ) (red)
	of an CIE Standard Illuminant D
	https://www.waveformlighting.com/tech/how-to-calculate-the-daylight-spectrum-d-illuminant
	https://www.waveformlighting.com/files/daylight_spd_5.txt
End
Functions:
	444	118.5018	36.2577	-2.7883
	445	120.0988	36.1778	-2.8682
	446	121.1368	36.0980	-2.8682
	447	122.1748	36.0181	-2.8682
	448	123.2129	35.9383	-2.9480
	449	124.2509	35.9383	-2.9480
	450	125.3688	35.6987	-2.9480
	451	125.4486	35.3793	-2.9480
	452	125.4486	35.0599	-2.9480
	453	125.4486	34.8204	-2.9480
	454	125.4486	34.4211	-2.9480
	455	125.4486	34.1017	-2.9480
	456	125.3688	33.7823	-2.9480
	457	125.3688	33.4630	-2.9480
	458	125.3688	33.0637	-2.9480
	459	125.3688	32.8242	-2.8682
	460	125.2889	32.4249	-2.8682
	461	124.9695	32.1055	-2.8682
	462	124.4106	31.4667	-2.8682
	463	124.0912	30.9876	-2.7883
	464	123.6121	30.5884	-2.7883
	465	123.2927	30.1892	-2.7883
	466	122.7338	29.5504	-2.7883
	467	122.3345	29.0713	-2.7085
	468	122.0151	28.7519	-2.7085
	469	121.5360	28.2728	-2.7085
	470	121.2166	27.7139	-2.7085
	471	121.1368	27.3945	-2.7085
	472	121.1368	27.0751	-2.7085
	473	121.1368	26.7557	-2.7085
	474	121.1368	26.2766	-2.7085
	475	121.1368	25.9572	-2.7085
	476	121.1368	25.6378	-2.7085
	477	121.1368	25.3184	-2.7085
	478	121.1368	24.8393	-2.7085
	479	121.1368	24.5199	-2.7085
	480	120.8973	24.1207	-2.7085
	481	120.4980	23.8013	-2.5488
	482	119.3801	23.1625	-2.5488
	483	118.7413	22.8431	-2.3891
	484	117.9429	22.5237	-2.3891
	485	117.3041	22.0446	-2.3093
	486	116.1862	21.5655	-2.2294
	487	115.5474	21.1663	-2.0697
	488	114.9086	20.7670	-2.0697
	489	114.1101	20.5275	-1.9100
	490	113.4713	19.8887	-1.9100
	491	113.3116	19.4894	-1.8302
	492	113.3116	19.1700	-1.8302
	493	113.2318	18.8506	-1.8302
	494	113.2318	18.5313	-1.7503
	495	113.1519	17.9723	-1.7503
	496	113.1519	17.5731	-1.6705
	497	113.0721	17.2537	-1.6705
	498	113.0721	16.9343	-1.6705
	499	112.9922	16.3753	-1.5906
	500	112.9124	16.1358	-1.5108
	501	112.7527	15.7365	-1.5906
	502	112.5131	15.5769	-1.5108
	503	112.1937	15.0978	-1.5108
	504	112.0340	14.8582	-1.5108
	505	111.7945	14.6187	-1.5108
	506	111.6348	14.2993	-1.4309
	507	111.3154	13.9799	-1.4309
	508	111.0759	13.6605	-1.4309
	509	110.9162	13.3411	-1.4309
	510	110.5968	13.1015	-1.4309
	511	110.1975	12.4628	-1.3511
	512	109.7184	12.1434	-1.3511
	513	109.3990	11.6643	-1.3511
	514	108.9200	11.3449	-1.3511
	515	108.4409	10.7061	-1.3511
	516	107.9618	10.2270	-1.3511
	517	107.6424	9.9076	-1.3511
	518	107.3230	9.4285	-1.3511
	519	106.6842	8.7897	-1.2712
	520	106.4446	8.5502	-1.2712
	521	106.6043	8.2308	-1.2712
	522	106.8439	7.9912	-1.2712
	523	107.1633	7.6718	-1.1914
	524	107.3230	7.4323	-1.1914
	525	107.5625	7.2726	-1.1914
	526	107.7222	7.0330	-1.1914
	527	108.0416	6.7136	-1.1115
	528	108.2812	6.4741	-1.1115
	529	108.4409	6.2346	-1.1115
	530	108.6006	5.9950	-1.1115
	531	108.2013	5.7555	-1.0317
	532	107.8819	5.5958	-0.9518
	533	107.5625	5.4361	-0.9518
	534	107.2431	5.2764	-0.8720
	535	106.7640	4.9570	-0.7921
	536	106.5245	4.7973	-0.7921
	537	106.2051	4.6376	-0.7123
	538	105.8857	4.4779	-0.7123
	539	105.4066	4.2383	-0.6324
	540	105.2469	4.0786	-0.5526
	541	105.0872	3.8391	-0.5526
	542	105.0074	3.6794	-0.5526
	543	104.9275	3.4399	-0.5526
	544	104.7678	3.1205	-0.4727
	545	104.7678	2.9608	-0.4727
	546	104.6081	2.7212	-0.4727
	547	104.6081	2.5615	-0.4727
	548	104.4484	2.2421	-0.3929
	549	104.3686	2.0026	-0.3929
	550	104.2887	1.9227	-0.3929
	551	103.8096	1.6033	-0.3929
	552	103.3305	1.4436	-0.3929
	553	102.8515	1.2041	-0.3130
	554	102.5321	1.0444	-0.3130
	555	102.0530	0.8847	-0.2332
	556	101.5739	0.6452	-0.2332
	557	101.0948	0.4855	-0.1533
